ticker,name,close,total_assets_fq,cash_n_short_term_invest_fq,total_liabilities_fq,total_debt_fq,net_debt_fq,total_equity_fq,current_ratio_fq,quick_ratio_fq,debt_to_equity_fq
NASDAQ:NVDA,NVDA,185.1950,"$140,740,000,000","$56,791,000,000","$40,609,000,000","$10,598,000,000","$-46,193,000,000","$100,131,000,000",4.21400008245043,3.59718844045018,$0
NASDAQ:AAPL,AAPL,263.1638,"$331,495,000,000","$55,372,000,000","$265,665,000,000","$101,698,000,000","$46,326,000,000","$65,830,000,000",0.867991780045351,0.826006235827664,$1
NASDAQ:MSFT,MSFT,524.6050,"$619,003,000,000","$94,565,000,000","$275,524,000,000","$112,184,000,000","$17,619,000,000","$343,479,000,000",1.35344644450424,1.34680423175516,$0
NASDAQ:GOOG,GOOG,261.8300,"$502,053,000,000","$95,148,000,000","$139,137,000,000","$41,668,000,000","$-53,480,000,000","$362,916,000,000",1.90374527545527,1.90374527545527,$0
NASDAQ:GOOGL,GOOGL,260.9250,"$502,053,000,000","$95,148,000,000","$139,137,000,000","$41,668,000,000","$-53,480,000,000","$362,916,000,000",1.90374527545527,1.90374527545527,$0
NASDAQ:AMZN,AMZN,225.1400,"$682,170,000,000","$96,892,000,000","$348,395,000,000","$151,917,000,000","$55,025,000,000","$333,775,000,000",1.02406899171308,0.805661215165765,$0
NASDAQ:META,META,736.8662,"$294,744,000,000","$47,232,000,000","$99,674,000,000","$49,560,000,000","$2,328,000,000","$195,070,000,000",1.97327436000536,1.97327436000536,$0
NASDAQ:AVGO,AVGO,356.8250,"$165,621,000,000","$10,718,000,000","$92,344,000,000","$64,229,000,000","$53,511,000,000","$73,277,000,000",1.49652777777778,1.36602011494253,$0
NASDAQ:TSLA,TSLA,437.1490,"$133,735,000,000","$42,235,000,000","$53,019,000,000","$13,788,000,000","$-28,447,000,000","$80,716,000,000",2.06625119846596,1.67392138063279,$0
NYSE:BRK.B,BRK.B,491.4000,"$1,163,968,000,000","$344,091,000,000","$493,692,000,000","$127,020,000,000","$-217,071,000,000","$670,276,000,000",7.72478579539589,7.30547813220467,$0
NYSE:BRK.A,BRK.A,736502.2650,"$1,163,968,000,000","$344,091,000,000","$493,692,000,000","$127,020,000,000","$-217,071,000,000","$670,276,000,000",7.72478579539589,7.30547813220467,$0
NYSE:WMT,WMT,106.4350,"$270,837,000,000","$9,431,000,000","$173,980,000,000","$65,014,000,000","$55,583,000,000","$96,857,000,000",0.792084274761988,0.234671610374061,$0
NYSE:JPM,JPM,301.8300,"$4,560,205,000,000",,"$4,199,993,000,000","$1,064,132,000,000","$1,042,311,000,000","$360,212,000,000",1.37916915964916,,$2
NYSE:ORCL,ORCL,284.7500,"$180,449,000,000","$11,005,000,000","$155,783,000,000","$111,622,000,000","$100,617,000,000","$24,666,000,000",0.617796057581381,0.617796057581381,$4
NYSE:JPM/PC,JPM/PC,25.6300,"$4,560,205,000,000",,"$4,199,993,000,000","$1,064,132,000,000","$1,042,311,000,000","$360,212,000,000",1.37916915964916,,$2
NYSE:JPM/PK,JPM/PK,20.2800,"$4,560,205,000,000",,"$4,199,993,000,000","$1,064,132,000,000","$1,042,311,000,000","$360,212,000,000",1.37916915964916,,$2
NYSE:JPM/PL,JPM/PL,20.5051,"$4,560,205,000,000",,"$4,199,993,000,000","$1,064,132,000,000","$1,042,311,000,000","$360,212,000,000",1.37916915964916,,$2
