ticker,name,close,free_cash_flow_ttm
NASDAQ:NVDA,NVDA,185.1800,"$72,023,000,000"
NASDAQ:AAPL,AAPL,263.0400,"$96,184,000,000"
NASDAQ:MSFT,MSFT,524.4450,"$71,611,000,000"
NASDAQ:GOOG,GOOG,261.8050,"$66,728,000,000"
NASDAQ:GOOGL,GOOGL,260.9450,"$66,728,000,000"
NASDAQ:AMZN,AMZN,225.0022,"$13,481,000,000"
NASDAQ:META,META,737.2100,"$50,137,000,000"
NASDAQ:AVGO,AVGO,356.4087,"$24,930,000,000"
NASDAQ:TSLA,TSLA,436.9600,"$6,834,000,000"
NYSE:BRK.B,BRK.B,491.2500,"$8,225,000,000"
NYSE:BRK.A,BRK.A,737059.8100,"$8,225,000,000"
NYSE:WMT,WMT,106.3750,"$13,753,000,000"
NYSE:JPM,JPM,301.9700,
NYSE:ORCL,ORCL,285.1400,"$-5,880,000,000"
NYSE:JPM/PD,JPM/PD,25.2101,
NYSE:JPM/PC,JPM/PC,25.6350,
NYSE:JPM/PL,JPM/PL,20.5051,
NYSE:JPM/PK,JPM/PK,20.2800,
NYSE:JPM/PM,JPM/PM,19.2250,
NYSE:JPM/PJ,JPM/PJ,21.2513,
NYSE:LLY,LLY,829.0300,"$4,884,900,000"
OTC:TCTZF,TCTZF,82.0880,
NYSE:V,V,347.5100,"$22,083,000,000"
NYSE:MA,MA,576.3400,"$16,325,000,000"
NYSE:XOM,XOM,115.5200,"$29,123,000,000"
NASDAQ:NFLX,NFLX,1104.3300,"$8,966,966,000"
NYSE:JNJ,JNJ,189.7150,"$19,597,000,000"
NASDAQ:PLTR,PLTR,184.8543,"$1,708,704,000"
NASDAQ:COST,COST,935.5290,"$7,837,000,000"
NASDAQ:AMD,AMD,251.5100,"$4,043,000,000"
NYSE:ABBV,ABBV,227.5500,"$18,239,000,000"
OTC:ASMLF,ASMLF,1038.9103,"$10,517,894,752"
OTC:BABAF,BABAF,20.4400,
NYSE:BAC,BAC,52.6150,
NYSE:HD,HD,388.2801,"$14,230,000,000"
NYSE:BAC/PQ,BAC/PQ,18.3580,
NYSE:BAC/PO,BAC/PO,18.6100,
NYSE:BAC/PB,BAC/PB,25.5874,
NYSE:BAC/PS,BAC/PS,20.7200,
NYSE:BAC/PE,BAC/PE,21.6362,
NYSE:BAC/PK,BAC/PK,25.1800,
NYSE:BAC/PN,BAC/PN,21.5100,
NYSE:BML/PJ,BML/PJ,21.1825,
NYSE:BML/PH,BML/PH,20.5100,
NYSE:BML/PG,BML/PG,20.6000,
NYSE:BML/PL,BML/PL,20.7000,
NYSE:BAC/PM,BAC/PM,23.1260,
NYSE:MER/PK,MER/PK,25.9103,
NYSE:BAC/PL,BAC/PL,1261.0001,
NYSE:BAC/PP,BAC/PP,17.5919,
OTC:ACGBF,ACGBF,0.7282,"$60,447,391,761"
NYSE:PG,PG,153.1700,"$14,045,000,000"
OTC:LVMHF,LVMHF,715.9400,"$17,883,066,190"
OTC:IDCBF,IDCBF,0.7600,"$-28,389,272,148"
NYSE:UNH,UNH,363.6400,"$25,271,000,000"
NYSE:GE,GE,304.0100,"$6,444,000,000"
NYSE:CVX,CVX,155.9200,"$16,511,000,000"
OTC:SAPGF,SAPGF,270.3340,"$7,445,476,800"
NYSE:KO,KO,69.8150,"$5,570,000,000"
NYSE:IBM,IBM,304.9199,"$12,113,000,000"
OTC:RHHBF,RHHBF,364.0000,"$18,650,138,800"
NASDAQ:CSCO,CSCO,70.4550,"$13,288,000,000"
NYSE:WFC,WFC,86.3350,
OTC:RHHVF,RHHVF,340.1360,"$18,650,138,800"
NYSE:WFC/PY,WFC/PY,24.8900,
NYSE:WFC/PZ,WFC/PZ,20.1106,
NYSE:WFC/PL,WFC/PL,1237.5000,
NYSE:WFC/PD,WFC/PD,18.0160,
NYSE:WFC/PA,WFC/PA,19.9200,
NYSE:WFC/PC,WFC/PC,18.5493,
OTC:TOYOF,TOYOF,20.5800,"$1,708,957,737"
OTC:HESAF,HESAF,2540.0000,"$5,127,790,470"
NYSE:MS,MS,163.8448,
NYSE:MS/PK,MS/PK,24.7700,
NYSE:MS/PL,MS/PL,21.5770,
NYSE:MS/PF,MS/PF,25.2800,
NYSE:MS/PE,MS/PE,25.7600,
NYSE:MS/PA,MS/PA,21.0499,
NYSE:MS/PO,MS/PO,18.4250,
NYSE:MS/PP,MS/PP,25.8500,
NYSE:MS/PI,MS/PI,25.2000,
NYSE:MS/PQ,MS/PQ,26.3040,
OTC:NSRGF,NSRGF,100.5500,"$11,774,656,800"
OTC:AZNCF,AZNCF,163.7500,"$12,140,351,089"
OTC:CICHF,CICHF,0.9419,"$42,624,292,056"
NYSE:AXP,AXP,359.9700,"$18,938,000,000"
NYSE:CAT,CAT,525.2800,"$7,740,000,000"
NYSE:PM,PM,157.6700,
NASDAQ:TMUS,TMUS,216.9700,"$17,147,000,000"
NASDAQ:MU,MU,216.9201,"$1,668,000,000"
NYSE:CRM,CRM,254.6268,"$12,497,000,000"
NYSE:RTX,RTX,178.9900,"$5,237,000,000"
OTC:NVSEF,NVSEF,125.8500,"$21,147,601,422"
OTC:CTATF,CTATF,69.9300,"$10,107,977,270"
NYSE:GS,GS,780.1300,
OTC:NONOF,NONOF,52.4180,"$10,274,867,168"
OTC:LRLCF,LRLCF,434.9545,"$8,715,476,814"
NYSE:GS/PA,GS/PA,21.2136,
NYSE:GS/PC,GS/PC,20.9300,
NYSE:GS/PD,GS/PD,20.6600,
OTC:HBCYF,HBCYF,13.1450,
NASDAQ:SHOP,SHOP,173.6700,"$1,855,658,545"
OTC:SFTBF,SFTBF,151.0960,"$-772,074,774"
OTC:SMAWF,SMAWF,281.7500,"$10,644,317,640"
NYSE:ABT,ABT,126.6300,
NYSE:MRK,MRK,87.6800,"$14,722,000,000"
NYSE:MCD,MCD,306.1150,"$6,897,000,000"
NYSE:TMO,TMO,573.8600,"$6,111,000,000"
NASDAQ:APP,APP,624.5695,"$2,850,867,000"
OTC:RYDAF,RYDAF,36.6500,"$28,127,922,753"
NASDAQ:LIN,LIN,447.2800,"$5,069,000,000"
NYSE:RY,RY,148.1100,"$-34,136,833,919"
NASDAQ:PEP,PEP,151.5701,"$6,788,000,000"
OTC:PCCYF,PCCYF,0.9200,"$18,157,721,731"
OTC:BACHF,BACHF,0.5500,"$52,706,340,199"
NYSE:DIS,DIS,111.8700,"$11,548,000,000"
NYSE:UBER,UBER,94.8000,"$8,540,000,000"
NASDAQ:ISRG,ISRG,549.3300,
NYSE:NOW,NOW,935.0350,"$3,849,000,000"
NYSE:ANET,ANET,154.2200,"$3,975,342,000"
NASDAQ:LRCX,LRCX,152.4450,"$5,550,038,000"
OTC:EADSF,EADSF,242.1100,"$3,361,983,460"
NASDAQ:INTU,INTU,685.5900,"$6,083,000,000"
NYSE:BX,BX,155.5000,
OTC:CBAUF,CBAUF,112.2500,
NYSE:BLK,BLK,1135.5800,
NASDAQ:QCOM,QCOM,170.2702,"$11,622,000,000"
NASDAQ:AMAT,AMAT,229.5650,"$5,823,000,000"
NYSE:C,C,99.0050,
NASDAQ:INTC,INTC,38.6201,"$-8,418,000,000"
OTC:SNEJF,SNEJF,29.4240,"$19,480,028,175"
NYSE:T,T,25.0701,"$19,956,000,000"
NYSE:T/PA,T/PA,21.0800,"$19,956,000,000"
