ticker,name,close,total_revenue_ttm,gross_profit_ttm,net_income_ttm,ebitda_ttm
NASDAQ:NVDA,NVDA,185.1800,"$165,218,000,000","$115,400,000,000","$86,597,000,000",98282000000
NASDAQ:AAPL,AAPL,262.9600,"$408,625,000,000","$190,739,000,000","$99,280,000,000",141696000000
NASDAQ:MSFT,MSFT,524.4300,"$281,724,000,000","$193,893,000,000","$101,832,000,000",162681000000
NASDAQ:GOOG,GOOG,261.7500,"$371,214,000,000","$218,727,000,000","$115,573,000,000",138860000000
NASDAQ:GOOGL,GOOGL,260.8700,"$371,214,000,000","$218,727,000,000","$115,573,000,000",138860000000
NASDAQ:AMZN,AMZN,225.0400,"$670,038,000,000","$332,383,000,000","$70,623,000,000",135697000000
NASDAQ:META,META,736.5966,"$178,804,000,000","$146,535,000,000","$71,507,000,000",95542000000
NASDAQ:AVGO,AVGO,356.1363,"$59,926,000,000","$37,829,000,000","$18,932,000,000",32724000000
NASDAQ:TSLA,TSLA,437.0200,"$95,633,000,000","$16,264,000,000","$5,268,000,000",10869000000
NYSE:BRK.B,BRK.B,491.3100,"$370,151,000,000","$89,409,000,000","$62,918,000,000",70770000000
NYSE:BRK.A,BRK.A,737059.8100,"$370,151,000,000","$89,409,000,000","$62,918,000,000",70770000000
NYSE:WMT,WMT,106.3900,"$693,153,000,000","$169,080,000,000","$21,344,000,000",42478000000
NYSE:JPM,JPM,301.8000,"$277,904,000,000",,"$57,737,000,000",
NYSE:ORCL,ORCL,285.0400,"$59,018,000,000","$39,011,000,000","$12,441,000,000",25185000000
NYSE:JPM/PD,JPM/PD,25.2101,"$277,904,000,000",,"$57,737,000,000",
NYSE:JPM/PK,JPM/PK,20.2800,"$277,904,000,000",,"$57,737,000,000",
NYSE:JPM/PL,JPM/PL,20.5051,"$277,904,000,000",,"$57,737,000,000",
NYSE:JPM/PC,JPM/PC,25.6300,"$277,904,000,000",,"$57,737,000,000",
NYSE:JPM/PJ,JPM/PJ,21.2513,"$277,904,000,000",,"$57,737,000,000",
NYSE:JPM/PM,JPM/PM,19.2250,"$277,904,000,000",,"$57,737,000,000",
NYSE:LLY,LLY,829.1250,"$53,258,100,000","$44,011,500,000","$13,799,900,000",24331900000
OTC:TCTZF,TCTZF,82.0880,"$96,784,675,234","$51,744,281,702","$28,600,492,261",38677654527.785995
NYSE:V,V,347.4950,"$38,893,000,000","$30,024,000,000","$20,061,000,000",27361000000
NYSE:MA,MA,576.3700,"$30,248,000,000","$29,236,000,000","$13,586,000,000",18793000000
NYSE:XOM,XOM,115.5400,"$328,617,000,000","$72,452,000,000","$31,015,000,000",61439000000
NASDAQ:NFLX,NFLX,1104.4700,"$43,326,975,000","$20,806,178,000","$10,431,287,000",28736545000
NYSE:JNJ,JNJ,189.7600,"$92,146,000,000","$62,910,000,000","$25,119,000,000",31152000000
NASDAQ:PLTR,PLTR,184.8397,"$3,440,587,000","$2,753,511,000","$763,292,000",597793000
NASDAQ:COST,COST,935.7102,"$275,235,000,000","$35,349,000,000","$8,099,000,000",12809000000
NASDAQ:AMD,AMD,251.0200,"$29,600,000,000","$12,788,000,000","$2,834,000,000",5546000000
NYSE:ABBV,ABBV,227.6100,"$58,328,000,000","$41,393,000,000","$3,723,000,000",26750000000
OTC:ASMLF,ASMLF,1038.9103,"$37,798,849,280","$19,924,189,792","$11,104,497,408",14360089344
OTC:BABAF,BABAF,20.4400,"$137,584,600,889","$55,929,385,640","$20,431,577,179",24827901391.691998
NYSE:BAC,BAC,52.6150,"$195,022,000,000",,"$29,646,000,000",
NYSE:HD,HD,388.2100,"$165,054,000,000","$51,832,000,000","$14,629,000,000",25550000000
NYSE:BAC/PO,BAC/PO,18.5980,"$195,022,000,000",,"$29,646,000,000",
NYSE:BML/PH,BML/PH,20.5100,"$195,022,000,000",,"$29,646,000,000",
NYSE:BML/PG,BML/PG,20.6000,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PB,BAC/PB,25.5874,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PL,BAC/PL,1261.0001,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PQ,BAC/PQ,18.3300,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PP,BAC/PP,17.5900,"$195,022,000,000",,"$29,646,000,000",
NYSE:BML/PJ,BML/PJ,21.1825,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PS,BAC/PS,20.7200,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PK,BAC/PK,25.1800,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PE,BAC/PE,21.6362,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PM,BAC/PM,23.1150,"$195,022,000,000",,"$29,646,000,000",
NYSE:BML/PL,BML/PL,20.7000,"$195,022,000,000",,"$29,646,000,000",
NYSE:MER/PK,MER/PK,25.9103,"$195,022,000,000",,"$29,646,000,000",
NYSE:BAC/PN,BAC/PN,21.5128,"$195,022,000,000",,"$29,646,000,000",
OTC:ACGBF,ACGBF,0.7282,"$190,834,235,514",,"$39,281,480,509",
NYSE:PG,PG,153.3200,"$84,284,000,000","$43,271,000,000","$15,974,000,000",23205000000
