ticker,name,close,gross_margin_ttm,operating_margin_ttm,net_margin_ttm,ebitda_margin_ttm
NASDAQ:NVDA,NVDA,184.9750,69.85%,58.09%,52.41%,59.49%
NASDAQ:AAPL,AAPL,263.6222,46.68%,31.87%,24.30%,34.68%
NASDAQ:MSFT,MSFT,524.4000,68.82%,45.62%,36.15%,57.74%
NASDAQ:GOOG,GOOG,262.0900,58.92%,32.65%,31.13%,37.41%
NASDAQ:GOOGL,GOOGL,261.2000,58.92%,32.65%,31.13%,37.41%
NASDAQ:AMZN,AMZN,224.7600,49.61%,11.51%,10.54%,20.25%
NASDAQ:META,META,736.9900,81.95%,44.08%,39.99%,53.43%
NASDAQ:AVGO,AVGO,355.2900,63.13%,39.33%,31.39%,54.61%
NASDAQ:TSLA,TSLA,435.9591,17.01%,5.09%,5.51%,11.37%
NYSE:BRK.B,BRK.B,490.8750,24.15%,15.58%,17.00%,19.12%
NYSE:BRK.A,BRK.A,736446.5600,24.15%,15.58%,17.00%,19.12%
NYSE:WMT,WMT,106.3600,24.39%,4.18%,3.08%,6.13%
NYSE:JPM,JPM,301.7100,,26.39%,20.78%,
NYSE:ORCL,ORCL,284.5000,66.10%,31.63%,21.08%,42.67%
NYSE:JPM/PC,JPM/PC,25.6301,,26.39%,20.78%,
NYSE:JPM/PL,JPM/PL,20.5199,,26.39%,20.78%,
NYSE:JPM/PM,JPM/PM,19.2100,,26.39%,20.78%,
NYSE:JPM/PJ,JPM/PJ,21.2513,,26.39%,20.78%,
NYSE:JPM/PK,JPM/PK,20.3000,,26.39%,20.78%,
NYSE:JPM/PD,JPM/PD,25.2500,,26.39%,20.78%,
NYSE:LLY,LLY,829.8200,82.64%,42.13%,25.91%,45.69%
OTC:TCTZF,TCTZF,82.0880,53.46%,31.51%,29.55%,39.96%
NYSE:V,V,347.5700,77.20%,67.32%,51.58%,70.35%
NYSE:MA,MA,575.5000,96.65%,58.78%,44.92%,62.13%
NYSE:XOM,XOM,115.5300,22.05%,11.20%,9.44%,18.70%
NASDAQ:NFLX,NFLX,1105.2400,48.02%,29.06%,24.08%,66.32%
NYSE:JNJ,JNJ,189.6400,68.27%,25.79%,27.26%,33.81%
NASDAQ:PLTR,PLTR,184.5900,80.03%,16.55%,22.18%,17.37%
NASDAQ:COST,COST,936.1300,12.84%,3.77%,2.94%,4.65%
NASDAQ:AMD,AMD,251.3050,43.20%,8.36%,9.22%,18.74%
NYSE:ABBV,ABBV,227.2700,70.97%,31.61%,6.38%,45.86%
OTC:ASMLF,ASMLF,1038.8300,52.71%,34.85%,29.38%,37.99%
OTC:BABAF,BABAF,20.4400,40.65%,14.51%,14.85%,18.05%
NYSE:BAC,BAC,52.4800,,16.76%,15.20%,
NYSE:HD,HD,388.2450,31.40%,13.09%,8.86%,15.48%
NYSE:BML/PH,BML/PH,20.5600,,16.76%,15.20%,
NYSE:BML/PG,BML/PG,20.6900,,16.76%,15.20%,
NYSE:BML/PL,BML/PL,20.7000,,16.76%,15.20%,
NYSE:BAC/PP,BAC/PP,17.6000,,16.76%,15.20%,
NYSE:BAC/PK,BAC/PK,25.1668,,16.76%,15.20%,
NYSE:BAC/PE,BAC/PE,21.6362,,16.76%,15.20%,
NYSE:BAC/PN,BAC/PN,21.5100,,16.76%,15.20%,
NYSE:MER/PK,MER/PK,25.9400,,16.76%,15.20%,
NYSE:BAC/PL,BAC/PL,1261.0000,,16.76%,15.20%,
NYSE:BAC/PS,BAC/PS,20.7200,,16.76%,15.20%,
NYSE:BML/PJ,BML/PJ,21.2000,,16.76%,15.20%,
NYSE:BAC/PB,BAC/PB,25.5859,,16.76%,15.20%,
NYSE:BAC/PO,BAC/PO,18.6100,,16.76%,15.20%,
NYSE:BAC/PQ,BAC/PQ,18.3300,,16.76%,15.20%,
NYSE:BAC/PM,BAC/PM,23.1174,,16.76%,15.20%,
OTC:ACGBF,ACGBF,0.7282,,23.18%,20.58%,
NYSE:PG,PG,153.0500,51.34%,24.15%,18.95%,27.53%
OTC:LVMHF,LVMHF,711.4751,66.03%,21.58%,13.26%,29.63%
OTC:IDCBF,IDCBF,0.7600,,26.98%,23.43%,
NYSE:UNH,UNH,363.2002,,7.27%,5.04%,
NYSE:GE,GE,304.2000,37.67%,18.94%,18.32%,21.69%
NYSE:CVX,CVX,155.8200,13.57%,8.22%,7.31%,17.85%
OTC:SAPGF,SAPGF,270.2400,73.83%,27.71%,19.41%,31.33%
NYSE:KO,KO,69.8750,63.25%,30.76%,27.35%,33.04%
NYSE:IBM,IBM,306.3100,57.70%,18.23%,12.11%,25.62%
OTC:RHHBF,RHHBF,364.0000,73.47%,30.06%,15.31%,35.69%
NASDAQ:CSCO,CSCO,70.4300,63.94%,22.62%,18.45%,27.58%
NYSE:WFC,WFC,86.3900,,19.93%,17.07%,
OTC:RHHVF,RHHVF,339.6700,73.47%,30.06%,15.31%,35.69%
NYSE:WFC/PD,WFC/PD,17.9902,,19.93%,17.07%,
NYSE:WFC/PZ,WFC/PZ,20.1047,,19.93%,17.07%,
NYSE:WFC/PC,WFC/PC,18.5451,,19.93%,17.07%,
NYSE:WFC/PY,WFC/PY,24.8900,,19.93%,17.07%,
NYSE:WFC/PL,WFC/PL,1240.0000,,19.93%,17.07%,
NYSE:WFC/PA,WFC/PA,19.9300,,19.93%,17.07%,
OTC:TOYOF,TOYOF,20.5750,19.29%,9.60%,8.82%,14.20%
OTC:HESAF,HESAF,2540.0000,65.80%,40.67%,28.54%,45.97%
NYSE:MS,MS,163.7678,,15.25%,14.31%,
NYSE:MS/PA,MS/PA,20.9700,,15.25%,14.31%,
NYSE:MS/PK,MS/PK,24.7500,,15.25%,14.31%,
NYSE:MS/PI,MS/PI,25.2000,,15.25%,14.31%,
NYSE:MS/PE,MS/PE,25.7600,,15.25%,14.31%,
NYSE:MS/PL,MS/PL,21.6100,,15.25%,14.31%,
NYSE:MS/PF,MS/PF,25.2800,,15.25%,14.31%,
NYSE:MS/PQ,MS/PQ,26.3199,,15.25%,14.31%,
NYSE:MS/PO,MS/PO,18.4400,,15.25%,14.31%,
NYSE:MS/PP,MS/PP,25.8500,,15.25%,14.31%,
OTC:AZNCF,AZNCF,163.7500,72.53%,21.10%,14.70%,33.19%
OTC:CICHF,CICHF,0.9419,,26.96%,24.05%,
OTC:NSRGF,NSRGF,99.1700,46.44%,16.74%,11.38%,20.74%
NYSE:AXP,AXP,359.1100,61.04%,20.60%,13.31%,29.34%
NYSE:CAT,CAT,524.5700,34.47%,18.54%,14.95%,22.02%
NYSE:PM,PM,157.6700,68.63%,33.79%,21.57%,
NASDAQ:TMUS,TMUS,217.0100,48.53%,22.64%,13.83%,37.67%
NASDAQ:MU,MU,216.4950,40.06%,26.67%,22.84%,49.02%
NYSE:CRM,CRM,254.2500,69.91%,21.22%,16.87%,35.12%
NYSE:RTX,RTX,179.0850,20.13%,9.83%,7.67%,14.90%
OTC:NVSEF,NVSEF,125.8500,75.37%,32.12%,25.60%,43.22%
OTC:CTATF,CTATF,69.9300,26.93%,13.44%,16.55%,
NYSE:GS,GS,779.1300,,14.43%,13.59%,
OTC:NONOF,NONOF,52.4280,83.95%,46.40%,35.61%,51.54%
OTC:LRLCF,LRLCF,435.2863,74.04%,20.03%,13.96%,23.73%
NYSE:GS/PA,GS/PA,21.2100,,14.43%,13.59%,
NYSE:GS/PC,GS/PC,20.9300,,14.43%,13.59%,
NYSE:GS/PD,GS/PD,20.6600,,14.43%,13.59%,
NASDAQ:SHOP,SHOP,174.0750,49.20%,15.39%,22.99%,15.71%
OTC:HBCYF,HBCYF,13.1450,,17.13%,12.54%,
OTC:SFTBF,SFTBF,151.0960,51.45%,9.85%,23.52%,21.68%
