ticker,name,close,change,change_abs,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,volume,market_cap_basic,sector,industry
NASDAQ:NVDA,NVDA,185.1250,1.63%,2.9650,2.74%,2.98%,6.63%,73.26%,36.12%,31.46%,1276.39%,423040.92%,"65,337,267","$4,498,537,590,437",Electronic Technology,Semiconductors
NASDAQ:AAPL,AAPL,263.4115,1.48%,3.8315,6.21%,3.21%,22.69%,27.64%,5.82%,14.54%,126.32%,205132.26%,"17,413,549","$3,909,129,095,665",Electronic Technology,Telecommunications Equipment
NASDAQ:MSFT,MSFT,524.0000,0.66%,3.4400,2.94%,2.67%,2.25%,35.40%,23.14%,23.20%,143.69%,538867.12%,"5,768,599","$3,894,937,780,561",Technology Services,Packaged Software
NASDAQ:GOOG,GOOG,261.4399,3.04%,7.7099,4.01%,3.68%,35.51%,56.46%,36.53%,58.84%,221.56%,823.05%,"9,405,029","$3,157,390,918,243",Technology Services,Internet Software/Services
NASDAQ:GOOGL,GOOGL,260.5200,2.94%,7.4400,3.89%,3.52%,35.70%,57.82%,36.65%,60.00%,222.62%,10309.66%,"14,991,902","$3,154,362,128,281",Technology Services,Internet Software/Services
NASDAQ:AMZN,AMZN,224.8300,1.69%,3.7400,4.79%,0.30%,-3.18%,19.83%,1.26%,21.37%,40.92%,184377.41%,"20,815,709","$2,397,792,149,834",Retail Trade,Internet Retail
NASDAQ:META,META,735.6050,0.22%,1.6050,4.03%,-2.89%,2.61%,34.53%,24.74%,29.71%,163.84%,1649.36%,"4,689,191","$1,847,812,102,975",Technology Services,Internet Software/Services
NASDAQ:AVGO,AVGO,356.3900,3.51%,12.1000,1.94%,4.90%,23.72%,90.66%,50.91%,104.52%,854.80%,21499.39%,"7,745,120","$1,683,003,787,649",Electronic Technology,Semiconductors
NASDAQ:TSLA,TSLA,436.7126,-2.73%,-12.2674,2.64%,1.60%,41.45%,66.88%,11.95%,78.48%,210.58%,34377.36%,"50,290,282","$1,452,135,321,252",Consumer Durables,Motor Vehicles
NYSE:BRK.B,BRK.B,490.9050,0.15%,0.7450,0.18%,-0.49%,1.92%,-7.68%,7.66%,6.51%,131.09%,2015.97%,"1,085,802","$1,059,242,424,749",Finance,Property/Casualty Insurance
NYSE:BRK.A,BRK.A,736183.7710,0.08%,583.7710,0.36%,-0.59%,1.80%,-7.74%,7.46%,6.41%,131.02%,300383.17%,137,"$1,058,474,250,295",Finance,Property/Casualty Insurance
NYSE:WMT,WMT,106.2201,-0.60%,-0.6399,-0.89%,3.09%,9.69%,10.88%,18.05%,28.04%,121.34%,604178.64%,"4,546,860","$846,877,043,225",Retail Trade,Specialty Stores
NYSE:JPM,JPM,301.6600,2.42%,7.1200,0.84%,-3.95%,1.67%,23.30%,25.21%,35.99%,191.46%,3056.86%,"2,896,372","$829,490,713,776",Finance,Major Banks
NYSE:ORCL,ORCL,285.1050,1.80%,5.0350,-6.14%,-8.58%,17.65%,107.36%,69.18%,64.50%,375.97%,450495.04%,"7,053,359","$812,775,211,399",Technology Services,Packaged Software
NYSE:JPM/PL,JPM/PL,20.5081,0.12%,0.0241,0.53%,-1.45%,4.47%,3.06%,-1.92%,-8.04%,-17.97%,-17.97%,"62,578","$809,912,467,134",Finance,Major Banks
NYSE:JPM/PC,JPM/PC,25.6302,0.12%,0.0302,0.08%,0.43%,0.83%,1.31%,0.75%,0.12%,-8.30%,2.56%,"29,927","$809,912,467,134",Finance,Major Banks
NYSE:JPM/PK,JPM/PK,20.2800,0.05%,0.0100,0.85%,-0.78%,5.02%,3.42%,-1.22%,-7.06%,-19.04%,-19.04%,"88,111","$809,912,467,134",Finance,Major Banks
NYSE:JPM/PJ,JPM/PJ,21.2663,0.12%,0.0263,0.98%,-0.06%,4.92%,3.54%,-0.39%,-7.98%,-21.64%,-15.17%,"34,810","$809,912,467,134",Finance,Major Banks
NYSE:JPM/PM,JPM/PM,19.2350,0.31%,0.0600,1.18%,-0.75%,6.04%,5.05%,1.13%,-5.48%,-23.12%,-23.12%,"41,023","$809,912,467,134",Finance,Major Banks
NYSE:JPM/PD,JPM/PD,25.2437,0.13%,0.0337,0.41%,-0.22%,1.38%,1.10%,0.29%,-0.22%,-9.06%,1.14%,"46,092","$809,912,467,134",Finance,Major Banks
NYSE:LLY,LLY,829.3100,1.01%,8.2700,5.11%,11.17%,2.51%,-3.53%,6.24%,-7.68%,483.04%,29427.59%,"981,778","$784,906,006,495",Health Technology,Pharmaceuticals: Major
OTC:TCTZF,TCTZF,82.0880,-2.51%,-2.1140,3.52%,-1.10%,17.47%,31.13%,51.92%,52.57%,14.01%,56124.66%,"4,339","$744,614,716,679",Technology Services,Packaged Software
NYSE:V,V,346.9250,0.28%,0.9650,2.71%,2.30%,-2.00%,3.63%,9.17%,22.85%,73.68%,2232.27%,"1,326,696","$668,385,988,242",Finance,Finance/Rental/Leasing
NYSE:MA,MA,576.3300,0.45%,2.5600,4.32%,0.88%,2.12%,7.63%,8.91%,12.59%,71.69%,14200.99%,"705,865","$521,009,158,556",Finance,Finance/Rental/Leasing
NYSE:XOM,XOM,115.4850,-0.43%,-0.4950,3.45%,0.80%,4.29%,6.79%,6.66%,-3.76%,230.24%,5255.83%,"3,469,875","$492,341,102,165",Energy Minerals,Integrated Oil
NASDAQ:NFLX,NFLX,1103.4500,-0.91%,-10.1400,-6.77%,-9.45%,-6.36%,0.58%,23.22%,46.74%,126.07%,95318.91%,"3,396,283","$467,567,425,543",Technology Services,Internet Software/Services
NYSE:JNJ,JNJ,190.1250,-1.22%,-2.3450,-1.23%,7.94%,12.00%,23.20%,30.91%,15.23%,30.33%,30320.34%,"2,354,203","$458,067,199,926",Health Technology,Pharmaceuticals: Major
NASDAQ:PLTR,PLTR,185.6910,2.89%,5.2110,4.47%,0.97%,19.32%,71.86%,143.69%,332.95%,1810.40%,1756.91%,"22,357,394","$440,523,007,406",Technology Services,Packaged Software
NASDAQ:COST,COST,935.0000,-0.75%,-7.0500,0.58%,-0.98%,-0.14%,-4.00%,2.19%,3.72%,148.93%,36990.66%,"626,527","$414,372,545,899",Retail Trade,Specialty Stores
NASDAQ:AMD,AMD,250.8800,6.76%,15.8900,7.55%,53.93%,53.44%,168.97%,105.15%,62.13%,210.00%,54636.66%,"45,433,846","$407,139,049,517",Electronic Technology,Semiconductors
NYSE:ABBV,ABBV,228.0450,-0.09%,-0.2050,0.23%,2.72%,19.15%,21.87%,27.64%,21.02%,169.43%,516.34%,"1,519,065","$402,854,770,999",Health Technology,Pharmaceuticals: Major
OTC:ASMLF,ASMLF,1040.0000,0.00%,0.0400,6.62%,8.93%,46.48%,55.23%,48.02%,46.12%,175.46%,3366.67%,101,"$397,264,199,799",Electronic Technology,Semiconductors
OTC:BABAF,BABAF,20.6125,1.49%,0.3025,-3.79%,-4.15%,30.33%,30.91%,89.38%,54.68%,-45.76%,-17.71%,"2,009","$393,457,171,596",Retail Trade,Internet Retail
NYSE:BAC,BAC,52.6150,1.65%,0.8550,3.27%,1.48%,8.73%,33.07%,19.20%,24.33%,108.46%,1592.14%,"16,068,849","$389,716,517,742",Finance,Major Banks
NYSE:HD,HD,388.2900,0.85%,3.2600,-0.05%,-4.55%,3.64%,8.55%,-0.98%,-3.48%,37.51%,1105572.30%,"922,573","$386,498,660,399",Retail Trade,Home Improvement Chains
NYSE:BAC/PE,BAC/PE,21.6362,-0.02%,-0.0038,0.21%,-0.75%,0.82%,-1.65%,-9.43%,-11.83%,-13.46%,-13.80%,"12,155","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PQ,BAC/PQ,18.3379,0.21%,0.0379,0.37%,-0.07%,5.39%,4.37%,-1.94%,-7.76%,-26.47%,-26.47%,"19,440","$383,383,578,036",Finance,Major Banks
